university_name,university_id,university_parent_id,university_short_name,university_name_en,is_from_crimea,registration_year,university_edrpou,university_type_name,university_financing_type_name,university_governance_type_name,post_index,koatuu_id,region_name,koatuu_name,university_address,post_index_u,koatuu_id_u,region_name_u,koatuu_name_u,university_address_u,university_phone,university_email,university_site,university_director_post,university_director_fio,close_date,primitki
Відокремлений підрозділ 'Вінницький факультет Київського національного університету культури і мистецтв',1609,308,.,Separate Division “Vinnytsia Faculty of Kyiv National University of Culture and Arts”,,2000,26519231,Заклад вищої освіти,Державна,Міністерство освіти і науки України,21009,0510100000,Вінницька область,Вінниця,"вул. Стрілецька, 7",21009,0510136300,Вінницька область,Вінниця,"вул. Стрілецька, 7","(044) 529 98 31, (043) 227 23 55",,,Керівник,Кравчук Галина Олександрівна,,
"Відокремлений підрозділ ""Вінницький факультет менеджменту і бізнесу Київського університету культури""",1540,310,.,"Autonomous subdivision “Vinnytsia Faculty of Management and Business of Kyiv University of Culture""",,2000,26519202,Заклад вищої освіти,Приватна,,21009,0510100000,Вінницька область,Вінниця,"вул. Стрілецька, 7",21009,0510136300,Вінницька область,Вінниця,"вул. Стрілецька, 7","(044) 284-64-04, (0432) 666 538",,,декан,,,
"Відокремлений структурний підрозділ закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна"" Вінницький соціально-економічний інститут",235,217,"Вінницький соціально-економічний інститут Університету ""Україна""","Separate Structural Subdivision of Higher Education Institution ""Open International University of Human Development ""Ukraine"" Vinnytsia Institute of Economics and Social Sciences",,1999,25508975,Заклад вищої освіти,Приватна,,21036,0510100000,Вінницька область,Вінниця,"вул. Хмельницьке шосе, 23""А""",21036,0510100000,Вінницька область,Вінниця,"вул. Хмельницьке шосе, 23""А""",+043(23)-270-50,vsei.vn.ua@ukr.net,www.vsei.vn.ua,директор,Давиденко Ганна Віталіївна,,
"Вінницька філія Вищого навчального закладу ""Київський університет ринкових відносин""",1464,866,ВФ КУРВ,,,2005,33345667,Заклад вищої освіти,Приватна,,21000,0510100000,Вінницька область,Вінниця,"вул. Козицького, 15",21000,0510100000,Вінницька область,Вінниця,"вул. Козицького, 15",,,,,,,
"Вінницька філія Економіко-технологічного коледжу Приватного вищого навчального закладу ""Київський інститут бізнесу та технологій"" товариства з обмеженою відповідальністю",2766,289,Вінницька філія Економіко-технологічного коледжу КІБіТ,Vinnitsa branch of College for Economics and Technology of Kiev Institute of Business and Technology LLC,,2003,39586283,Заклад вищої освіти,Приватна,,21000,0510100000,Вінницька область,Вінниця,"вул. Сергія Зулінського, 46",21000,0510100000,Вінницька область,Вінниця,"вул. Сергія Зулінського, 46","(0432) 69-32-62, 55-10-29",info_vn@kibit.edu.ua,,директор,Жалюк Оксана Петрівна,,
Вінницька філія Київського інституту бізнесу та технологій товариство з обмеженою відповідальністю,1469,289,Вінницька філія КІБіТ,Vinnitsa branch of Kyiv Institute of Business and Technology LLC,,2002,26338966,Заклад вищої освіти,Приватна,,21022,0510100000,Вінницька область,Вінниця,"вул. Сергія Зулінського, 46",21022,0510136300,Вінницька область,Вінниця,"вул. Сергія Зулінського, 46","(0432) 69 32 62, 55 10 29",info_vn@kibit.edu.ua,,Директор,Якимчук Андрій Анатолійович,,
"Вінницька філія Приватного вищого навчального закладу ""Університет сучасних знань""",2805,281,.,Vinnytsa Branch of Private Higher Educational Institution “University of Modern Knowledge”,,2002,39679608,Заклад вищої освіти,Приватна,,29015,0510100000,Вінницька область,Вінниця,"вул. Шосе Хмельницьке, 7",29015,0510100000,Вінницька область,Вінниця,"вул. Шосе Хмельницьке, 7",(0432) 65 89 87,sekretariat@umk.edu.ua,https://usz.org.ua/,Директор,Теклюк Василь Олексійович,,
Вінницьке відділення Навчально-наукового інституту заочного та дистанційного навчання,1466,240,.,,,2000,35295660,Заклад вищої освіти,Державна,Міністерство внутрішніх справ України,21000,0510100000,Вінницька область,Вінниця,"вул. Ботанічна, 23",21000,0510136600,Вінницька область,Вінниця,"вул. Ботанічна, 23",,,,начальник,,,
Вінницький державний педагогічний університет імені Михайла Коцюбинського,252,,ВДПУ,Vinnytsia Mykhailo Kotsiubynskyi State Pedagogical University,так,1912,02125094,Заклад вищої освіти,Державна,Міністерство освіти і науки України,21100,0510100000,Вінницька область,Вінниця,"вул. Острозького, 32",21100,0510136300,Вінницька область,Вінниця,"вул. Острозького, 32",+380 (432) 27 58 46,"info@vspu.net, admin@vspu.net",www.vspu.edu.ua,ректор,Лазаренко Наталія Іванівна,,
"Вінницький інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",1190,249,ВІ ПрАТ «ВНЗ «МАУП»,"The Vinnytsia Institute of the Private Joint Stock Company ""Higher education institution ""The Interregional Academy of Personnel Management """,,2000,25500241,Заклад вищої освіти,Приватна,,21100,0510100000,Вінницька область,Вінниця,"вул. Хмельницьке шосе, 145",21100,0510100000,Вінницька область,Вінниця,"вул. Хмельницьке шосе, 145",(0432) 56-06-30,vi_maup2005@ukr.net,www.maup.vn.ua,Директор,Соляніченко Микола Олександрович,,
